CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0.63888889,0.63888889,0.0,0.0,0.33333333,1.0,0.0,0.375,23.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,0.86111111,0.87301587,0.0,0.0,0.77777778,1.0,0.0,0.625,31.0
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
6,0.44444444,0.58082707,0.0,0.0,0.61111111,1.0,0.0,0.23529412,68.0
7,0.61818182,0.6969697,0.0,0.0,0.63636364,1.0,0.0,0.3,34.0
8,0.60606061,0.68871595,0.0,0.0,0.66666667,1.0,0.0,0.18181818,40.0
9,0.85714286,0.85365854,0.0,0.0,0.625,1.0,0.0,0.71428571,24.0
10,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
12,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
13,0.62820513,0.70786517,0.0,0.0,0.76923077,1.0,0.0,0.33333333,49.0
14,0.46666667,0.56300268,0.0,0.0,0.6875,1.0,0.0,0.33333333,56.0
15,0.82142857,0.83478261,0.0,0.0,0.625,1.0,0.0,0.57142857,23.0
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
17,0.66666667,0.66666667,0.0,0.0,0.14285714,1.0,0.0,0.5,14.0
18,0.47794118,0.56521739,0.0,0.0,0.47058824,1.0,0.0,0.25,65.0
19,0.62222222,0.6971831,0.0,0.0,0.5,1.0,0.0,0.33333333,28.0
20,1.0,0.0,0.81818182,1.0,0.0,0.0,0.00180144,1.0,0.11111111
21,0.89285714,0.89552239,0.0,0.0,0.75,1.0,0.0,0.71428571,25.0
22,0.6,0.65217391,0.51351351,0.5,0.0,0.83333333,0.00126971,0.2,0.47368421
23,0.31578947,0.45821326,0.0,0.0,0.5,0.95,0.0,0.05263158,60.0
24,0.76190476,0.76190476,0.15789474,0.0,0.42857143,1.0,0.00034382,0.5,2.66666667
25,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
26,0.75555556,0.76811594,0.0,0.0,0.7,1.0,0.0,0.55555556,34.0
27,0.66666667,0.62068966,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
28,0.53846154,0.57925072,0.0,0.0,0.5,1.0,0.0,0.23076923,49.0
29,0.58333333,0.65934066,0.0,0.0,0.22222222,0.88888889,0.0,0.125,21.0
30,0.49450549,0.63009404,0.12621359,0.0,0.57142857,0.85714286,0.00037352,0.07692308,3.46153846
31,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
32,0.6,0.65957447,0.0,0.0,0.5,1.0,0.0,0.33333333,27.0
33,0.89285714,0.87969925,0.0,0.0,0.875,1.0,0.0,0.71428571,25.0
